term,estimate,std.error,statistic,p.value
(Intercept),2402867.0215059356,361894.05039200076,6.639697499594616,5.072336938196825e-11
treatment_period,-112543.19154814197,89534.48219085333,-1.2569815426892497,0.20904472845758929
treatment_group,19179878.71058639,544182.0798582174,35.24533317154355,2.8694480441429884e-179
iczech_republic,2018301.3392394932,524899.3824090167,3.845120430465233,1.2786881454507107e-4
idenmark,-507433.45865419804,574284.3843852583,-0.8835926458236877,0.37712193902142055
ifinland,-213299.10579819971,480201.94840633473,-0.4441862564408244,0.6570010522531005
igermany,NA,NA,NA,NA
igreece,-497686.0612258134,625646.0972919901,-0.7954753707886433,0.42651995176080326
ilithuania,-2333068.9865109767,479990.5370355761,-4.860656214016264,1.3516264545722207e-6
iluxembourg,-2349940.0484735877,568087.8084787022,-4.136578911571005,3.812011699608253e-5
iportugal,-2523126.018846103,880601.8392839386,-2.8652291038794364,0.004251621742433513
iromania,88616.49386013948,503821.80840649153,0.17588856294335373,0.860415997018473
ispain,1729496.4746095163,574023.3773395399,3.0129373521777385,0.0026504400847854295
x_temp,-15571.325960339953,6788.849282433106,-2.293662049713266,0.022010169628928333
treatment_period:treatment_group,-567945.4127873981,296867.8956643851,-1.9131250670145596,0.05600853681568657
iczech_republic:x_temp,-14755.401657959552,9968.970317673782,-1.4801329713862228,0.1391429657382961
idenmark:x_temp,-7748.776562151052,11179.509077448194,-0.6931231513360663,0.48838822324949616
ifinland:x_temp,-13375.59068494193,9701.809129042824,-1.3786697415950462,0.16829536509914322
igermany:x_temp,-91970.35495935859,10219.001129858978,-8.999935883227344,1.062327086347263e-18
igreece:x_temp,16905.738191165092,10275.559509071807,1.6452377290248588,0.10022531435853592
ilithuania:x_temp,16038.99001844674,9459.303622490625,1.6955783066643644,0.09026739929138168
iluxembourg:x_temp,15266.656930410418,10842.300272338565,1.408064391036974,0.1594131646844862
iportugal:x_temp,42196.52438575348,14323.87604029254,2.945887291055591,0.0032926173366527958
iromania:x_temp,1829.730727893655,9120.900828153863,0.20060855417326207,0.8410441956101864
ispain:x_temp,50752.92174008584,9924.937763917986,5.113676573831786,3.7645907105107856e-7
